customer_id,branch_group,y1_revenue,y2_revenue,change_value,change_pct,y1_orders,y2_orders
14156,Ireland,186509.8,116560.08,-69949.72,-37.5,90.0,54.0
13694,UK North,130601.07,65039.62,-65561.45,-50.2,93.0,50.0
16754,UK North,63497.67,2002.4,-61495.27,-96.8,28.0,1.0
17850,UK North,45817.66,5391.21,-40426.45,-88.2,121.0,34.0
13093,UK South,46311.78,7832.47,-38479.31,-83.1,47.0,8.0
13902,Rest of Europe,34023.26,0.0,-34023.26,-100.0,5.0,0.0
17940,UK North,26237.4,2152.18,-24085.22,-91.8,5.0,9.0
12482,Rest of Europe,21941.72,0.0,-21941.72,-100.0,27.0,0.0
18251,UK South,21964.14,4314.72,-17649.42,-80.4,8.0,1.0
13802,UK North,21659.69,4599.42,-17060.27,-78.8,16.0,3.0
15523,UK South,16847.18,412.01,-16435.17,-97.6,15.0,1.0
18008,UK North,17642.89,2116.19,-15526.7,-88.0,14.0,9.0
16705,UK South,29480.06,14034.99,-15445.07,-52.4,22.0,20.0
17920,UK North,19462.28,4107.6,-15354.68,-78.9,37.0,17.0
17448,UK North,14448.67,0.0,-14448.67,-100.0,41.0,0.0
15768,UK North,14687.06,621.83,-14065.23,-95.8,31.0,3.0
13564,UK North,14706.19,1174.03,-13532.16,-92.0,34.0,2.0
13687,UK South,11880.84,0.0,-11880.84,-100.0,1.0,0.0
16779,UK South,22197.31,10611.72,-11585.59,-52.2,31.0,22.0
14134,UK North,11123.35,0.0,-11123.35,-100.0,15.0,0.0
18052,UK North,10877.18,0.0,-10877.18,-100.0,1.0,0.0
13881,UK South,28019.58,17159.52,-10860.06,-38.8,23.0,20.0
12709,DACH,20086.66,9400.52,-10686.14,-53.2,17.0,15.0
14028,UK North,10396.5,0.0,-10396.5,-100.0,3.0,0.0
14527,UK South,18684.97,8506.13,-10178.84,-54.5,66.0,55.0
17044,UK North,11013.82,948.48,-10065.34,-91.4,11.0,1.0
15808,UK North,13528.98,3651.27,-9877.71,-73.0,17.0,4.0
16019,UK South,13542.92,3786.24,-9756.68,-72.0,18.0,9.0
14091,UK South,9530.08,0.0,-9530.08,-100.0,2.0,0.0
17377,UK South,13580.91,4058.32,-9522.59,-70.1,58.0,20.0
14063,UK South,9471.5,0.0,-9471.5,-100.0,7.0,0.0
12454,Rest of Europe,12931.44,3528.34,-9403.1,-72.7,3.0,1.0
17589,UK South,11403.35,2402.92,-9000.43,-78.9,14.0,4.0
14277,France,12637.16,4152.0,-8485.16,-67.1,5.0,3.0
14160,UK North,8421.47,0.0,-8421.47,-100.0,7.0,0.0
13206,UK North,8308.19,0.0,-8308.19,-100.0,13.0,0.0
12647,DACH,10962.73,3146.82,-7815.91,-71.3,23.0,12.0
14045,UK South,9326.88,1659.75,-7667.13,-82.2,12.0,4.0
18087,UK South,10705.8,3202.92,-7502.88,-70.1,15.0,1.0
14543,UK South,10988.14,3560.08,-7428.06,-67.6,23.0,16.0
12949,UK South,11359.48,4167.22,-7192.26,-63.3,14.0,8.0
15413,UK South,6798.72,0.0,-6798.72,-100.0,5.0,0.0
