invoice_month,branch_group,sales,returns,active_customers,orders
2009-12,UK South,325944.75,13046.48,528,996
2009-12,UK North,283700.37,4258.64,456,755
2009-12,Rest of Europe,17951.91,202.1,19,25
2009-12,Ireland,17167.21,168.55,2,24
2009-12,Benelux,15333.33,,3,8
2009-12,DACH,11156.01,314.23,14,31
2009-12,France,5873.69,876.65,13,22
2009-12,International,788.8,467.76,5,8
2010-01,UK South,203581.81,3569.01,382,609
2010-01,UK North,201768.29,2498.27,314,492
2010-01,Ireland,58669.48,620.45,3,18
2010-01,Benelux,30606.79,9.95,6,10
2010-01,Rest of Europe,17186.65,,11,14
2010-01,DACH,11260.87,508.52,16,31
2010-01,France,7316.45,116.62,7,9
2010-01,International,3322.64,,5,7
2010-02,UK North,212675.96,4777.07,355,568
2010-02,UK South,196138.92,2846.52,389,617
2010-02,Rest of Europe,30358.03,3663.8,11,19
2010-02,Ireland,19082.86,46.0,3,19
2010-02,Benelux,18895.74,361.0,4,11
2010-02,DACH,9247.79,253.0,22,45
2010-02,France,8073.16,43.15,12,18
2010-02,International,3465.11,37.01,7,9
2010-03,UK North,298753.68,3533.97,483,789
2010-03,UK South,277055.36,4713.94,538,909
2010-03,Benelux,24850.82,210.0,6,17
2010-03,Ireland,21778.3,224.32,3,33
2010-03,Rest of Europe,16922.58,170.4,22,33
2010-03,DACH,16863.83,321.25,26,46
2010-03,France,8007.79,226.37,12,22
2010-03,International,1741.31,110.4,4,5
2010-04,UK South,258989.49,4787.85,480,761
2010-04,UK North,241920.84,4433.17,436,687
2010-04,DACH,24875.53,219.74,27,42
2010-04,Rest of Europe,21504.57,198.54,15,30
2010-04,Ireland,20096.23,238.78,3,20
2010-04,Benelux,8697.17,21.25,12,15
2010-04,France,6907.18,40.07,8,12
2010-04,International,2136.42,19.25,6,6
2010-05,UK North,258726.65,8967.5,479,767
2010-05,UK South,247625.97,26847.08,515,856
2010-05,Benelux,22304.68,13.2,8,10
2010-05,DACH,18347.56,384.45,23,36
2010-05,Ireland,18011.57,93.62,2,21
2010-05,France,13298.55,511.65,14,20
2010-05,Rest of Europe,12201.93,167.75,13,27
2010-05,International,2217.22,,5,7
2010-06,UK North,281967.28,20423.71,475,786
2010-06,UK South,254661.98,4747.85,532,872
2010-06,Benelux,27414.85,147.45,8,17
2010-06,Ireland,22449.21,266.45,2,28
2010-06,DACH,17003.8,450.44,19,35
2010-06,Rest of Europe,11241.42,28.15,18,20
2010-06,France,8439.54,120.0,18,24
2010-06,International,6362.37,80.5,9,10
2010-07,UK South,253221.49,6570.17,489,833
2010-07,UK North,248722.67,7981.12,417,707
2010-07,Ireland,31587.23,1187.65,3,28
2010-07,DACH,18797.26,382.33,30,41
2010-07,International,7836.23,712.15,7,15
2010-07,France,7128.65,32.4,14,17
2010-07,Benelux,7099.87,,13,15
2010-07,Rest of Europe,7094.56,139.55,12,15
2010-08,UK South,253182.07,7330.08,471,753
2010-08,UK North,251815.24,3959.73,428,644
2010-08,Benelux,26457.31,226.2,8,14
2010-08,Ireland,22419.36,101.73,3,28
2010-08,France,16285.32,421.4,11,12
