stock_code,description,units_sold,revenue,avg_price,customers,orders
22655,VINTAGE RED KITCHEN CABINET,75.0,12550.0,184.23,45,52
22656,VINTAGE BLUE KITCHEN CABINET,45.0,9290.0,214.86,30,37
21769,VINTAGE POST OFFICE CABINET,123.0,7954.87,77.63,42,48
22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,46.0,7150.0,158.71,29,35
22826,LOVE SEAT ANTIQUE WHITE METAL,58.0,6210.0,114.02,33,41
22833,HALL CABINET WITH 3 DRAWERS,118.0,4013.59,43.27,9,11
22823,CHEST NATURAL WOOD 20 DRAWERS,32.0,3655.0,117.5,17,18
22830,UTILTY CABINET WITH HOOKS,178.0,3623.2,24.38,14,16
23064,CINDERELLA CHANDELIER,220.0,3617.6,43.01,20,22
22764,"RUSTIC WOODEN CABINET, GLASS DOORS",181.0,3362.57,23.53,23,24
22769,CHALKBOARD KITCHEN ORGANISER,164.0,3198.8,24.29,32,35
22828,REGENCY MIRROR WITH SHUTTERS,17.0,2565.0,154.09,9,11
22503,CABIN BAG VINTAGE PAISLEY,105.0,2417.15,26.92,29,35
21686,MEDINA STAMPED METAL STOOL,61.0,2296.95,39.09,10,29
22824,3 TIER SWEETHEART GARDEN SHELF,61.0,2153.95,35.7,47,48
22803,IVORY EMBROIDERED QUILT,51.0,1915.65,38.41,22,30
21761,WOOD AND GLASS MEDICINE CABINET,65.0,1814.75,29.58,21,24
21760,FRENCH STYLE WALL DRESSER,15.0,1740.0,116.92,12,12
20785,FUSCHIA RETRO BAR STOOL,44.0,1657.8,39.24,14,17
22929,SCHOOL DESK AND CHAIR,23.0,1459.75,64.17,17,17
84472,PINK AND LILAC QUILTED THROW,33.0,1450.4,44.27,23,25
84619,BLUE GINGHAM ROSE QUILT,69.0,1444.15,33.18,22,26
84616,SILVER ROCCOCO CHANDELIER,69.0,1297.75,23.56,19,22
84816,DANISH ROSE BEDSIDE CABINET,31.0,1198.45,39.39,18,18
84967B,BLUE KASHMIRI OCCASIONAL TABLE,23.0,1169.5,64.47,8,10
21763,VINTAGE WOODEN BAR STOOL,43.0,1157.9,27.95,15,17
22761,CHEST 7 DRAWER MA CAMPAGNE,45.0,1083.75,24.56,27,31
20784,RED RETRO BAR STOOL,26.0,970.7,38.95,6,8
21277,FRENCH STYLE EMBOSSED HEART CABINET,45.0,968.8,21.63,36,40
21759,METAL WALL SHELF UNIT WITH HOOKS,27.0,968.08,45.47,11,11
20786,BLACK RETRO BAR STOOL,22.0,830.9,39.51,9,9
20833,SHAKER THROW  QUILTED,52.0,811.8,27.63,3,5
84632,DECORATIVE HANGING SHELVING UNIT,14.0,799.3,58.95,8,10
21335,LIBRARY LAMP,36.0,754.2,21.54,17,22
84963A,PINK PAINTED KASHMIRI CHAIR,22.0,713.4,40.71,8,8
21764,VINTAGE WOODEN PLATE RACK,17.0,659.15,39.5,11,11
84963B,BLUE PAINTED KASHMIRI CHAIR,18.0,591.5,42.96,5,6
47583A,SET OF 3 WICKER BASKET ROSE,70.0,561.8,21.36,5,5
84653,GREEN ROSE QUILT,10.0,453.5,45.2,8,8
20787,BLUE RETRO BAR STOOL,11.0,435.45,39.45,7,8
47583B,SET OF 3 WICKER BASKET TEA AND CAKE,27.0,332.6,21.96,6,6
