customer_id,branch_group,orders,gross_sales,returns,return_rate_pct
14277,France,8,16789.16,12829.34,76.4
12755,International,11,5236.26,2606.76,49.8
15369,UK South,11,6251.26,2904.83,46.5
15482,UK North,18,14377.36,4486.24,31.2
14607,UK South,20,22575.13,5348.9,23.7
12931,UK South,57,92347.34,20800.37,22.5
14543,UK South,39,14548.22,2589.46,17.8
15514,UK North,18,6388.28,1116.27,17.5
16546,UK North,5,5307.07,886.03,16.7
16754,UK North,29,65500.07,10807.25,16.5
15971,UK South,18,5897.88,972.4,16.5
15502,UK North,12,9542.92,1466.47,15.4
15270,UK North,21,8524.86,1283.67,15.1
14045,UK South,16,10986.63,1652.4,15.0
