Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
C489588,79323P,PINK CHERRY LIGHTS,-2,2009-12-01 14:01:00,6.75,13711.0,United Kingdom
C489588,79323GR,GREEN CHERRY LIGHTS,-2,2009-12-01 14:01:00,6.75,13711.0,United Kingdom
C489588,22120,WELCOME  WOODEN BLOCK LETTERS,-1,2009-12-01 14:01:00,9.95,13711.0,United Kingdom
489794,20982,12 PENCILS TALL TUBE SKULLS,12,2009-12-02 12:13:00,0.85,15287.0,United Kingdom
489794,21327,SKULLS WRITING SET ,12,2009-12-02 12:13:00,1.65,15287.0,United Kingdom
489794,21425,SKULLS STORAGE BOX LARGE,6,2009-12-02 12:13:00,2.95,15287.0,United Kingdom
489794,21495,SKULLS WRAP,25,2009-12-02 12:13:00,0.42,15287.0,United Kingdom
489819,85049G,CHOCOLATE BOX RIBBONS ,8,2009-12-02 13:23:00,1.25,14739.0,United Kingdom
489819,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6,2009-12-02 13:23:00,5.95,14739.0,United Kingdom
489819,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,3,2009-12-02 13:23:00,5.95,14739.0,United Kingdom
489819,21591,COSY HOUR CIGAR BOX MATCHES ,48,2009-12-02 13:23:00,1.25,14739.0,United Kingdom
489819,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,2009-12-02 13:23:00,0.21,14739.0,United Kingdom
489819,84946,ANTIQUE SILVER TEA GLASS ETCHED,72,2009-12-02 13:23:00,1.06,14739.0,United Kingdom
489819,22088,PAPER BUNTING COLOURED LACE,40,2009-12-02 13:23:00,2.55,14739.0,United Kingdom
489819,21186,WHITE DOVE HONEYCOMB PAPER GARLAND,48,2009-12-02 13:23:00,1.45,14739.0,United Kingdom
489819,84832,ZINC WILLIE WINKIE  CANDLE STICK,24,2009-12-02 13:23:00,0.85,14739.0,United Kingdom
489819,20940,SET/6 GARDEN GNOME T-LIGHT CANDLES,36,2009-12-02 13:23:00,2.55,14739.0,United Kingdom
489819,22075,6 RIBBONS ELEGANT CHRISTMAS ,24,2009-12-02 13:23:00,1.65,14739.0,United Kingdom
489819,85049A,TRADITIONAL CHRISTMAS RIBBONS,36,2009-12-02 13:23:00,1.25,14739.0,United Kingdom
489819,85049E,SCANDINAVIAN REDS RIBBONS,24,2009-12-02 13:23:00,1.25,14739.0,United Kingdom
490272,21357,TOAST ITS - DINOSAUR,10,2009-12-04 12:36:00,1.25,14680.0,United Kingdom
490272,21355,TOAST ITS - I LOVE YOU ,10,2009-12-04 12:36:00,1.25,14680.0,United Kingdom
490272,21356,TOAST ITS - FAIRY FLOWER,8,2009-12-04 12:36:00,1.25,14680.0,United Kingdom
490272,21328,BALLOONS  WRITING SET ,2,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
490272,21330,WOODLAND ANIMAL  WRITING SET ,2,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
490272,21329,DINOSAURS  WRITING SET ,2,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
490272,20978,36 PENCILS TUBE SKULLS,5,2009-12-04 12:36:00,1.25,14680.0,United Kingdom
490272,20979,36 PENCILS TUBE RED SPOTTY,4,2009-12-04 12:36:00,1.25,14680.0,United Kingdom
490272,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,3,2009-12-04 12:36:00,2.95,14680.0,United Kingdom
490272,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,5,2009-12-04 12:36:00,2.95,14680.0,United Kingdom
490272,21733,RED HANGING HEART T-LIGHT HOLDER,2,2009-12-04 12:36:00,2.95,14680.0,United Kingdom
490272,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2009-12-04 12:36:00,2.95,14680.0,United Kingdom
490272,21411,GINGHAM HEART  DOORSTOP RED,2,2009-12-04 12:36:00,4.25,14680.0,United Kingdom
490272,20969,RED FLORAL FELTCRAFT SHOULDER BAG,3,2009-12-04 12:36:00,3.75,14680.0,United Kingdom
490272,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-04 12:36:00,3.75,14680.0,United Kingdom
490272,20968,GREEN FLORAL FELTCRAFT SHOULDER BAG,1,2009-12-04 12:36:00,3.75,14680.0,United Kingdom
490272,21181,PLEASE ONE PERSON  METAL SIGN,12,2009-12-04 12:36:00,2.1,14680.0,United Kingdom
490272,85152,HAND OVER THE CHOCOLATE   SIGN ,4,2009-12-04 12:36:00,2.1,14680.0,United Kingdom
490272,82600,NO SINGING METAL SIGN,3,2009-12-04 12:36:00,2.1,14680.0,United Kingdom
490272,21166,COOK WITH WINE METAL SIGN ,12,2009-12-04 12:36:00,1.95,14680.0,United Kingdom
490272,85150,LADIES & GENTLEMEN METAL SIGN,1,2009-12-04 12:36:00,2.55,14680.0,United Kingdom
490272,21163,DO NOT TOUCH MY STUFF DOOR HANGER ,1,2009-12-04 12:36:00,1.45,14680.0,United Kingdom
490272,21158,MOODY GIRL DOOR HANGER ,1,2009-12-04 12:36:00,1.45,14680.0,United Kingdom
490272,21159,MOODY BOY  DOOR HANGER ,1,2009-12-04 12:36:00,1.45,14680.0,United Kingdom
490272,21425,SKULLS STORAGE BOX LARGE,2,2009-12-04 12:36:00,2.95,14680.0,United Kingdom
490272,21427,SKULLS STORAGE BOX SMALL,2,2009-12-04 12:36:00,2.1,14680.0,United Kingdom
490272,20681,PINK SPOTTY CHILDS UMBRELLA,3,2009-12-04 12:36:00,3.25,14680.0,United Kingdom
490272,85136C,RED SHARK HELICOPTER,1,2009-12-04 12:36:00,7.95,14680.0,United Kingdom
490272,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
490272,84050,PINK HEART SHAPE EGG FRYING PAN,1,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
490272,70007,HI TEC ALPINE HAND WARMER,1,2009-12-04 12:36:00,1.65,14680.0,United Kingdom
